# sampling_period	MAPE
300	37.4228
400	25.7958
500	25.7484
600	19.2226
700	14.3685
800	11.3239
900	11.2918
1000	6.6500
1100	5.9300
1200	12.0815
1300	10.9011
1400	11.0361
1500	13.2173
1600	9.9379

# decay_factor	MAPE
0.001000	9.5999
0.002000	9.5836
0.003000	9.5812
0.004000	9.6041
0.005000	9.6032
0.006000	9.5915
0.007000	9.5842
0.008000	9.5753
0.009000	9.5661
0.010000	9.5529
0.020000	9.4840
0.030000	9.3967
0.040000	9.3224
0.050000	9.2470
0.060000	9.1895
0.070000	6.7089
0.080000	6.6500
0.090000	4.7701
0.095000	4.7621
0.100000	4.7460
0.110000	4.7158
0.120000	4.7008
0.130000	4.6873
0.140000	4.6722
0.150000	5.0314
0.200000	5.0669
0.300000	6.4781
0.400000	11.5917
0.500000	11.6384
0.600000	13.5987
0.700000	13.6264
0.800000	13.6436
0.900000	13.6504
1.000000	13.6569
